,cve.id,cve.sourceIdentifier,cve.published,cve.lastModified,cve.vulnStatus,cve.references,cve.cisaExploitAdd,cve.cisaActionDue,cve.cisaRequiredAction,cve.cisaVulnerabilityName,description,vulnerable_cpes,num_references,cwe_list,cvss_version,cvss_vectorString,cvss_baseScore,cvss_baseSeverity,cvss_attackVector,cvss_attackComplexity,cvss_privilegesRequired,cvss_userInteraction,cvss_scope,cvss_confidentialityImpact,cvss_integrityImpact,cvss_availabilityImpact,cve,epss,percentile
114,CVE-2025-52548,dd59f033-460c-4b88-a075-d4d3fedb6191,2025-09-02 12:15:37.393,2025-09-02 15:55:25.420,Awaiting Analysis,"[{'url': 'https://www.armis.com/research/frostbyte10/', 'source': 'dd59f033-460c-4b88-a075-d4d3fedb6191'}]",,,,,"E3 Site Supervisor Control (firmware version < 2.31F01) contains a hidden API call in the application services that enables SSH and Shellinabox, which exist but are disabled by default. An attacker with admin access to the application services can utilize this API to enable remote access to the underlying OS.",[],1,['CWE-1242'],,,,,,,,,,,,,CVE-2025-52548,0.00036,0.08898
266,CVE-2025-21038,mobile.security@samsung.com,2025-09-03 06:15:49.410,2025-09-05 16:52:00.727,Analyzed,"[{'url': 'https://security.samsungmobile.com/serviceWeb.smsb?year=2025&month=09', 'source': 'mobile.security@samsung.com', 'tags': ['Vendor Advisory']}]",,,,,Improper verification of intent by SamsungExceptionalBroadcastReceiver in S Assistant prior to version 9.3.2 allows local attackers to modify itinerary information.,['cpe:2.3:a:samsung:sassistant:*:*:*:*:*:*:*:*'],1,[],3.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N,3.3,LOW,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,LOW,NONE,CVE-2025-21038,0.00015,0.02004
348,CVE-2025-58635,audit@patchstack.com,2025-09-03 15:15:46.960,2025-09-04 15:35:29.497,Awaiting Analysis,"[{'url': 'https://patchstack.com/database/wordpress/plugin/support-genix-lite/vulnerability/wordpress-support-genix-plugin-1-4-23-broken-access-control-vulnerability?_s_id=cve', 'source': 'audit@patchstack.com'}]",,,,,Missing Authorization vulnerability in PalsCode Support Genix allows Exploiting Incorrectly Configured Access Control Security Levels. This issue affects Support Genix: from n/a through 1.4.23.,[],1,['CWE-862'],3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,5.3,MEDIUM,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,LOW,NONE,CVE-2025-58635,0.00028,0.06275
395,CVE-2025-9925,cna@vuldb.com,2025-09-03 20:15:38.090,2025-09-08 16:47:17.650,Analyzed,"[{'url': 'https://github.com/JunGu-W/cve/issues/8', 'source': 'cna@vuldb.com', 'tags': ['Exploit', 'Third Party Advisory', 'Issue Tracking']}, {'url': 'https://vuldb.com/?ctiid.322327', 'source': 'cna@vuldb.com', 'tags': ['Permissions Required', 'VDB Entry']}, {'url': 'https://vuldb.com/?id.322327', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}, {'url': 'https://vuldb.com/?submit.642579', 'source': 'cna@vuldb.com', 'tags': ['Third Party Advisory', 'VDB Entry']}]",,,,,A vulnerability was found in projectworlds Travel Management System 1.0. This issue affects some unknown processing of the file /detail.php. The manipulation of the argument pid results in sql injection. The attack can be executed remotely. The exploit has been made public and could be used.,['cpe:2.3:a:projectworlds:travel_management_system:1.0:*:*:*:*:*:*:*'],4,"['CWE-74', 'CWE-89']",3.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,9.8,CRITICAL,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,CVE-2025-9925,0.00028,0.06282
470,CVE-2025-41041,cve-coordination@incibe.es,2025-09-04 12:15:33.160,2025-09-04 18:44:02.050,Analyzed,"[{'url': 'https://www.incibe.es/en/incibe-cert/notices/aviso/multiple-vulnerabilities-apprain-cmf', 'source': 'cve-coordination@incibe.es', 'tags': ['Third Party Advisory']}]",,,,,"A vulnerability has been discovered in appRain CMF version 4.0.5, consisting of a stored authenticated XSS due to a lack of proper validation of user input, through the 'data[code]', 'data[lang][0][key]', 'data[lang][0][value]', 'data[lang][1][key]' and 'data[title]' parameters in /apprain/developer/language/default.xml.",['cpe:2.3:a:apprain:apprain:4.0.5:*:*:*:*:*:*:*'],1,['CWE-79'],3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,5.4,MEDIUM,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,NONE,CVE-2025-41041,0.00029,0.06563
565,CVE-2024-49739,security@android.com,2025-09-04 18:15:38.673,2025-09-05 18:58:48.627,Analyzed,"[{'url': 'https://source.android.com/security/bulletin/2025-05-01', 'source': 'security@android.com', 'tags': ['Vendor Advisory']}]",,,,,"In MMapVAccess of pmr_os.c, there is a possible out of bounds write due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",['cpe:2.3:o:google:android:-:*:*:*:*:*:*:*'],1,['CWE-787'],3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,4.0,MEDIUM,LOCAL,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,CVE-2024-49739,5e-05,0.00216
662,CVE-2024-40664,security@android.com,2025-09-04 20:15:33.427,2025-09-08 14:03:20.720,Analyzed,"[{'url': 'https://source.android.com/security/bulletin/wear/2025-05-01', 'source': 'security@android.com', 'tags': ['Broken Link']}]",,,,,"In setupAccessibilityServices of AccessibilityFragment.java , there is a possible way to hide an enabled accessibility service due to a logic error in the code. This could lead to local denial of service with no additional execution privileges needed. User interaction is not needed for exploitation.","['cpe:2.3:o:google:android:13.0:*:*:*:*:*:*:*', 'cpe:2.3:o:google:android:14.0:*:*:*:*:*:*:*']",1,['CWE-400'],3.1,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.2,MEDIUM,LOCAL,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,CVE-2024-40664,5e-05,0.00222
750,CVE-2025-58832,audit@patchstack.com,2025-09-05 14:15:55.723,2025-09-05 17:47:10.303,Awaiting Analysis,"[{'url': 'https://patchstack.com/database/wordpress/plugin/search-google/vulnerability/wordpress-search-by-google-plugin-1-9-cross-site-scripting-xss-vulnerability?_s_id=cve', 'source': 'audit@patchstack.com'}]",,,,,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in webvitaly Search by Google allows Stored XSS. This issue affects Search by Google: from n/a through 1.9.,[],1,['CWE-79'],3.1,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:L,5.9,MEDIUM,NETWORK,LOW,HIGH,REQUIRED,CHANGED,LOW,LOW,LOW,CVE-2025-58832,0.00031,0.07122
776,CVE-2025-58858,audit@patchstack.com,2025-09-05 14:16:00.743,2025-09-05 17:47:10.303,Awaiting Analysis,"[{'url': 'https://patchstack.com/database/wordpress/plugin/wpb-image-widget/vulnerability/wordpress-wpb-image-widget-plugin-1-1-cross-site-scripting-xss-vulnerability?_s_id=cve', 'source': 'audit@patchstack.com'}]",,,,,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in WPBean WPB Image Widget allows Stored XSS. This issue affects WPB Image Widget: from n/a through 1.1.,[],1,['CWE-79'],3.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:L,6.5,MEDIUM,NETWORK,LOW,LOW,REQUIRED,CHANGED,LOW,LOW,LOW,CVE-2025-58858,0.00033,0.07958
963,CVE-2024-36346,psirt@amd.com,2025-09-06 18:15:39.967,2025-09-08 16:25:38.810,Awaiting Analysis,"[{'url': 'https://www.amd.com/en/resources/product-security/bulletin/AMD-SB-6018.html', 'source': 'psirt@amd.com'}]",,,,,Improper input validation in AMD Power Management Firmware (PMFW) could allow a privileged attacker from Guest VM to send arbitrary input data potentially causing a GPU Reset condition.,[],1,['CWE-1284'],3.1,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:N/I:N/A:H,6.0,MEDIUM,LOCAL,LOW,HIGH,NONE,CHANGED,NONE,NONE,HIGH,CVE-2024-36346,0.00018,0.02909
